"","ISO","ID_1","NAME_1","ID_2","NAME","TYPE","ENGTYPE","NAME_CHS","NAME_LAB","VARNAME","AREA","PTX","PTY"
"1","CHN",1,"Anhui",1,"Anqing","Dějíshě","Prefecture City","安庆市","安庆","Anqěng",1.449442361,116.5944798,30.61075399
"2","CHN",1,"Anhui",2,"Bengbu","Dějíshě","Prefecture City","蚌埠市","蚌埠","B?ngb?",0.570317058,117.3274272,33.11179775
"3","CHN",1,"Anhui",3,"Bozhou","Dějíshě","Prefecture City","亳州市","亳州","Bózhou",0.833037247,116.1805244,33.43340263
"4","CHN",1,"Anhui",4,"Chaohu","Dějíshě","Prefecture City","巢湖市","巢湖","Cháohú",0.895554061,117.781854,31.46379141
"5","CHN",1,"Anhui",5,"Chizhou","Dějíshě","Prefecture City","池州市","池州","Chízhou",0.793536845,117.3671314,30.28375655
"6","CHN",1,"Anhui",6,"Chuzhou","Dějíshě","Prefecture City","滁州市","滁州","Chúzhou",1.302514743,118.097843,32.54487701
"7","CHN",1,"Anhui",7,"Fuyang","Dějíshě","Prefecture City","阜阳市","阜阳","F?yáng",0.973189358,115.7004676,32.91640489
"8","CHN",1,"Anhui",8,"Hefei","Dějíshě","Prefecture City","合肥市","合肥","Héféi",0.714430631,117.2444177,31.99357629
"9","CHN",1,"Anhui",9,"Huaibei","Dějíshě","Prefecture City","淮北市","淮北","Huáibei",0.261888164,116.7371333,33.72136058
"10","CHN",1,"Anhui",10,"Huainan","Dějíshě","Prefecture City","淮南市","淮南","Huáinán",0.204395065,116.7326152,32.75688931
"11","CHN",1,"Anhui",11,"Huangshan","Dějíshě","Prefecture City","黄山市","黄山","Huángshan",0.909386193,118.0764213,29.90611289
"12","CHN",1,"Anhui",12,"Lu'an","Dějíshě","Prefecture City","六安市","六安","L?'an",1.750922403,116.3123625,31.75714304
"13","CHN",1,"Anhui",13,"Ma'anshan","Dějíshě","Prefecture City","马鞍山市","马鞍","Ma'anshan",0.169813243,118.613618,31.53246699
"14","CHN",1,"Anhui",14,"Suzhou AH","Dějíshě","Prefecture City","宿州市","宿州","S?zhou",0.974237675,117.2081497,33.86090045
"15","CHN",1,"Anhui",15,"Tongling","Dějíshě","Prefecture City","铜陵市","铜陵","Tónglíng",0.097780964,117.8943485,30.94488655
"16","CHN",1,"Anhui",16,"Wuhu","Dějíshě","Prefecture City","芜湖市","芜湖","Wúhú",0.311280697,118.3267445,31.06687221
"17","CHN",1,"Anhui",17,"Xuancheng","Dějíshě","Prefecture City","宣城市","宣城","Xuanchéng",1.157012889,118.8565635,30.69105912
"18","CHN",2,"Beijing",18,"Beijing","Zhíxiáshě","Municipality","北京","北京","Beijing",1.734891144,116.4106715,40.1849142
"19","CHN",3,"Chongqing",19,"Chongqing","Zhíxiáshě","Municipality","重庆","重庆","Chóngqěng",7.713129154,107.8748401,30.05864874
"20","CHN",4,"Fujian",20,"Fuzhou","Dějíshě","Prefecture City","福州市","福州","Fúzhou",1.049527705,119.1564744,26.06444018
"21","CHN",4,"Fujian",21,"Longyan","Dějíshě","Prefecture City","龙岩市","龙岩","Lóngyán",1.71327683,116.7383107,25.29232553
"22","CHN",4,"Fujian",22,"Nanping","Dějíshě","Prefecture City","南平市","南平","Nánpíng",2.401012726,118.1426306,27.3402755
"23","CHN",4,"Fujian",23,"Ningde","Dějíshě","Prefecture City","宁德市","宁德","Níngdé",1.201745497,119.4701027,26.97549144
"24","CHN",4,"Fujian",24,"Putian","Dějíshě","Prefecture City","莆田市","莆田","Pútián",0.349988083,118.8793257,25.45721664
"25","CHN",4,"Fujian",25,"Quanzhou","Dějíshě","Prefecture City","泉州市","泉州","Quánzhou",0.978473765,118.2547522,25.21181723
"26","CHN",4,"Fujian",26,"Sanming","Dějíshě","Prefecture City","三明市","三明","Sanmíng",2.074376382,117.3951961,26.29994742
"27","CHN",4,"Fujian",27,"Xiamen","Dějíshě","Prefecture City","厦门市","厦门","Xi?mén",0.136604015,118.1106587,24.68310417
"28","CHN",4,"Fujian",28,"Zhangzhou","Dějíshě","Prefecture City","漳州市","漳州","Zhangzhou",1.114207187,117.4412465,24.38372375
"29","CHN",5,"Gansu",29,"Baiyin","Dějíshě","Prefecture City","白银市","白银","Báiyín",2.024832534,104.6221059,36.61248331
"30","CHN",5,"Gansu",30,"Dingxi","Dějíshě","Prefecture City","定西市","定西","Děngxi",1.946761352,104.451532,35.1205534
"31","CHN",5,"Gansu",31,"Gannan Tibetan","Zězhězhou","Autonomous Prefecture","甘南藏族自治州","甘南","Gannán Z?ngzú",3.576382808,102.7448766,34.33469962
"32","CHN",5,"Gansu",32,"Jiayuguan","Dějíshě","Prefecture City","嘉峪关市","嘉峪关","Jiay?guan",0.136763736,98.19598992,39.8165279
"33","CHN",5,"Gansu",33,"Jinchang","Dějíshě","Prefecture City","金昌市","金昌","Jinchang",0.759144355,102.0507236,38.42731729
"34","CHN",5,"Gansu",34,"Jiuquan","Dějíshě","Prefecture City","酒泉市","酒泉","Jiuquán",15.46596251,96.24378957,40.45979211
"35","CHN",5,"Gansu",35,"Lanzhou","Dějíshě","Prefecture City","兰州市","兰州","Lánzhou",1.332358496,103.6364678,36.34893148
"36","CHN",5,"Gansu",36,"Linxia Hui","Zězhězhou","Autonomous Prefecture","临夏回族自治州","临夏","Línxi? Huiz?",0.804023424,103.2771832,35.6299443
"37","CHN",5,"Gansu",37,"Longnan","Dějíshě","Prefecture City","陇南市","陇南","Longnán",2.764369391,105.2102105,33.59511443
"38","CHN",5,"Gansu",38,"Pingliang","Dějíshě","Prefecture City","平凉市","平凉","Píngliáng",1.09713523,106.6510984,35.30654585
"39","CHN",5,"Gansu",39,"Qingyang","Dějíshě","Prefecture City","庆阳市","庆阳","Qěngyáng",2.721228676,107.5914498,36.16604784
"40","CHN",5,"Gansu",40,"Tianshui","Dějíshě","Prefecture City","天水市","天水","Tianshui",1.399272495,105.7399518,34.65014895
"41","CHN",5,"Gansu",41,"Wuwei","Dějíshě","Prefecture City","武威市","武威","Wuwei",3.362586511,103.05382,38.17535817
"42","CHN",5,"Gansu",42,"Zhangye","Dějíshě","Prefecture City","张掖市","张掖","Zhangy?",4.113083537,99.89444781,38.91973388
"43","CHN",6,"Guangdong",43,"Chaozhou","Dějíshě","Prefecture City","潮州市","潮州","Cháozhou",0.283951629,116.7684354,23.79860483
"44","CHN",6,"Guangdong",44,"Dongguan","Dějíshě","Prefecture City","东莞市","东莞","Dongguan",0.21293431,113.8763176,22.93540427
"45","CHN",6,"Guangdong",45,"Foshan","Dějíshě","Prefecture City","佛山市","佛山","Fóshan",0.342003561,112.9450635,23.01295412
"46","CHN",6,"Guangdong",46,"Guangzhou","Dějíshě","Prefecture City","广州市","广州","Guangzhou",0.630132944,113.5355406,23.35757095
"47","CHN",6,"Guangdong",47,"Heyuan","Dějíshě","Prefecture City","河源市","河源","Héyuán",1.386822809,114.9573295,24.04267719
"48","CHN",6,"Guangdong",48,"Huizhou","Dějíshě","Prefecture City","惠州市","惠州","Huězhou",0.997726262,114.4965555,23.24551705
"49","CHN",6,"Guangdong",49,"Jiangmen","Dějíshě","Prefecture City","江门市","江门","Jiangmén",0.821990562,112.6679026,22.29819408
"50","CHN",6,"Guangdong",50,"Jieyang","Dějíshě","Prefecture City","揭阳市","揭阳","Jieyáng",0.460988917,116.1165273,23.33776025
"51","CHN",6,"Guangdong",51,"Maoming","Dějíshě","Prefecture City","茂名市","茂名","M?omíng",0.995157265,110.9528539,22.01561884
"52","CHN",6,"Guangdong",52,"Meizhou","Dějíshě","Prefecture City","梅州市","梅州","Méizhou",1.405706099,116.0787235,24.20202043
"53","CHN",6,"Guangdong",53,"Qingyuan","Dějíshě","Prefecture City","清远市","清远","Qingyuan",1.682436813,112.8737094,24.31231958
"54","CHN",6,"Guangdong",54,"Shantou","Dějíshě","Prefecture City","汕头市","汕头","Sh?ntóu",0.182113441,116.5556078,23.33062802
"55","CHN",6,"Guangdong",55,"Shanwei","Dějíshě","Prefecture City","汕尾市","汕尾","Sh?nwei",0.428015691,115.5318601,23.01543973
"56","CHN",6,"Guangdong",56,"Shaoguan","Dějíshě","Prefecture City","韶关市","韶关","Sháoguan",1.641742834,113.7717706,24.81816146
"57","CHN",6,"Guangdong",57,"Shenzhen","Dějíshě","Prefecture City","深圳市","深圳","Shenzh?n",0.168399338,114.1330528,22.65631716
"58","CHN",6,"Guangdong",58,"Yangjiang","Dějíshě","Prefecture City","阳江市","阳江","Yángjiang",0.683735893,111.774161,22.03855903
"59","CHN",6,"Guangdong",59,"Yunfu","Dějíshě","Prefecture City","云浮市","云浮","Yúnfú",0.68487639,111.7959632,22.81579258
"60","CHN",6,"Guangdong",60,"Zhanjiang","Dějíshě","Prefecture City","湛江市","湛江","Zh?njiang",1.091519772,110.1584215,21.0951683
"61","CHN",6,"Guangdong",61,"Zhaoqing","Dějíshě","Prefecture City","肇庆市","肇庆","Zh?oqěng",1.314537655,112.202118,23.54029666
"62","CHN",6,"Guangdong",62,"Zhongshan","Dějíshě","Prefecture City","中山市","中山","Zhongshan",0.154011483,113.3894405,22.52221732
"63","CHN",6,"Guangdong",63,"Zhuhai","Dějíshě","Prefecture City","珠海市","珠海","Zhuhai",0.135227557,113.2514288,22.1620676
"64","CHN",7,"Guangxi",64,"Baise","Dějíshě","Prefecture City","百色市","百色","Bais?",3.211435655,106.2891298,23.98656499
"65","CHN",7,"Guangxi",65,"Beihai","Dějíshě","Prefecture City","北海市","北海","Beihai",0.303393794,109.3355895,21.67935542
"66","CHN",7,"Guangxi",66,"Chongzuo","Dějíshě","Prefecture City","崇左市","崇左","Chóngzuo",1.523006774,107.2755004,22.50315553
"67","CHN",7,"Guangxi",67,"Fangchenggang","Dějíshě","Prefecture City","防城港市","防城港","Fángchénggang",0.524480097,108.0024167,21.88232513
"68","CHN",7,"Guangxi",68,"Guigang","Dějíshě","Prefecture City","贵港市","贵港","Guěgang",0.938059025,109.9987765,23.31009537
"69","CHN",7,"Guangxi",69,"Guilin","Dějíshě","Prefecture City","桂林市","桂林","Guělín",2.471221632,110.5120744,25.35341843
"70","CHN",7,"Guangxi",70,"Hechi","Dějíshě","Prefecture City","河池市","河池","Héchí",2.979205707,107.8400634,24.64474761
"71","CHN",7,"Guangxi",71,"Hezhou","Dějíshě","Prefecture City","贺州市","贺州","H?zhou",1.038335651,111.3601274,24.35912887
"72","CHN",7,"Guangxi",72,"Laibin","Dějíshě","Prefecture City","来宾市","来宾","Láibin",1.166283345,109.40168,23.84755714
"73","CHN",7,"Guangxi",73,"Liuzhou","Dějíshě","Prefecture City","柳州市","柳州","Liuzhou",1.681655838,109.3791164,24.93896395
"74","CHN",7,"Guangxi",74,"Nanning","Dějíshě","Prefecture City","南宁市","南宁","Nánníng",1.948696435,108.4633816,23.05874298
"75","CHN",7,"Guangxi",75,"Qinzhou","Dějíshě","Prefecture City","钦州市","钦州","Qinzhou",0.938536011,109.0249708,22.18313555
"76","CHN",7,"Guangxi",76,"Wuzhou","Dějíshě","Prefecture City","梧州市","梧州","Wúzhou",1.108426152,110.9917958,23.48119685
"77","CHN",7,"Guangxi",77,"Yulin GX","Dějíshě","Prefecture City","玉林市","玉林","Y?lín",1.127970378,110.183163,22.44330359
"78","CHN",8,"Guizhou",78,"Anshun","Dějíshě","Prefecture City","安顺市","安顺","Ansh?n",0.840211345,105.9514265,25.99615459
"79","CHN",8,"Guizhou",79,"Bijie","Děqu","Prefecture","毕节地区","毕节","Bějié",2.447013346,105.2123072,27.06717489
"80","CHN",8,"Guizhou",80,"Guiyang","Dějíshě","Prefecture City","贵阳市","贵阳","Guěyáng",0.729568592,106.7078248,26.84339443
"81","CHN",8,"Guizhou",81,"Liupanshui","Dějíshě","Prefecture City","六盘水市","六盘水","Li?pánshui",0.900147214,104.8922815,26.13064686
"82","CHN",8,"Guizhou",82,"Qiandongnan Miao and Dong","Zězhězhou","Autonomous Prefecture","黔东南苗族侗族自治州","黔东南","Qiándongnán Miáozú|Dňngzú",2.742631079,108.5564966,26.50353589
"83","CHN",8,"Guizhou",83,"Qiannan Buyei and Miao","Zězhězhou","Autonomous Prefecture","黔南布依族苗族自治州","黔南","Qiánnán B?yizú|Miáozú",2.348894335,107.251474,26.01580875
"84","CHN",8,"Guizhou",84,"Qianxinan Buyei and Miao","Zězhězhou","Autonomous Prefecture","黔西南布依族苗族自治州","黔西南","Qiánxinán B?yizú|Miáozú",1.505802665,105.4643494,25.26619231
"85","CHN",8,"Guizhou",85,"Tongren","Děqu","Prefecture","铜仁地区","铜仁","Tóngrén",1.6453736,108.5439891,27.96945676
"86","CHN",8,"Guizhou",86,"Zunyi","Dějíshě","Prefecture City","遵义市","遵义","Zunyě",2.827645273,107.0869932,28.16831915
"87","CHN",9,"Hainan",87,"Haikou","Dějíshě","Prefecture City","海口市","海口","Haikou",0.193925436,110.4257392,19.83115946
"88","CHN",9,"Hainan",88,"Hainan","Děqu","Prefecture","海南","海南","Hainán",2.570786872,109.7147896,19.19810037
"89","CHN",9,"Hainan",89,"Sanya","Dějíshě","Prefecture City","三亚市","三亚","Sany?",0.161223216,109.4179033,18.39202091
"90","CHN",10,"Hebei",90,"Baoding","Dějíshě","Prefecture City","保定市","保定","Baoděng",2.319569572,115.1684269,39.02259895
"91","CHN",10,"Hebei",91,"Cangzhou","Dějíshě","Prefecture City","沧州市","沧州","Cangzhou",1.461744706,116.7510722,38.26576179
"92","CHN",10,"Hebei",92,"Chengde","Dějíshě","Prefecture City","承德市","承德","Chéngdé",4.248814543,117.5455887,41.3437081
"93","CHN",10,"Hebei",93,"Handan","Dějíshě","Prefecture City","邯郸市","邯郸","Hándan",1.213617417,114.5441311,36.55050314
"94","CHN",10,"Hebei",94,"Hengshui","Dějíshě","Prefecture City","衡水市","衡水","Héngshui",0.903154405,115.823532,37.76085346
"95","CHN",10,"Hebei",95,"Langfang","Dějíshě","Prefecture City","廊坊市","廊坊","Lángfáng",0.667687441,116.5358369,39.11278433
"96","CHN",10,"Hebei",96,"Qinhuangdao","Dějíshě","Prefecture City","秦皇岛市","秦皇岛","Qínhuángdao",0.820913055,119.1836784,40.08941729
